#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2022-11-23T11:17:57 [V7.294]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	version=7.294	
#INFO	-ref=VIZ637dfd101c8380	
#INFO	-out.max=1000	
#INFO	queryParameters=30	
#-oc.form=dec
#-out.max=1000
#-order=I
#-out.src=J/A+A/661/A23/tableb1
#-nav=cat:J/A+A/661/A23&tab:{J/A+A/661/A23/tableb1}&key:source=J/A+A/661/A23&HTTPPRM:&&-ref=VIZ637dfd101c8380&-out.max=1000&-out.form=HTML Table&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=Host&-out=Pl-letter&-out=Pl-asem&-out=Mass&-out=f_Mass&-out=Rad&-out=f_Rad&-out=Dist&-out=ftrans&-out=FX&-out=binary&-out=Xray-prov&-out=LX&-out=LXUV&-out=FplX&-out=FplXUV&-out=dM/dt&-out=SimbadName&-out=_RA&-out=_DE&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/A+A/661/A23/tableb1
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/661/A23/tableb1
#-out=Host
#-out=Pl-letter
#-out=Pl-asem
#-out=Mass
#-out=f_Mass
#-out=Rad
#-out=f_Rad
#-out=Dist
#-out=ftrans
#-out=FX
#-out=binary
#-out=Xray-prov
#-out=LX
#-out=LXUV
#-out=FplX
#-out=FplXUV
#-out=dM/dt
#-out=SimbadName
#-out=_RA
#-out=_DE
#

#RESOURCE=yCat_36610023
#Name: J/A+A/661/A23
#Title: Exoplanet X-ray irradiation and evaporation rates (Foster+, 2022)
#Table	J_A_A_661_A23_tableb1:
#Name: J/A+A/661/A23/tableb1
#Title: Exoplanet irradiation fluxes and mass-loss rates
#Column	Host	(a27)	Host star name	[ucd=meta.id;meta.main]
#Column	Pl-letter	(A1)	Planet letter	[ucd=meta.note]
#Column	Pl-asem	(F23.18)	? Planet semi-major axis	[ucd=phys.size.smajAxis]
#Column	Mass	(F6.1)	? Planet mass	[ucd=phys.mass]
#Column	f_Mass	(F4.1)	[0/1]? Flag if mass was calculated	[ucd=meta.code]
#Column	Rad	(F4.1)	? Planet radius	[ucd=phys.angSize;src]
#Column	f_Rad	(F4.1)	[0/1]? Flag if radius was calculated	[ucd=meta.code]
#Column	Dist	(F10.6)	? Host star distance	[ucd=pos.distance]
#Column	ftrans	(I1)	[0/1]Flag if exoplanet is transiting	[ucd=meta.code]
#Column	FX	(E8.1)	Adopted stellar X-ray flux, 0.2-2 keV	[ucd=phot.flux;em.X-ray]
#Column	binary	(A1)	[0/1]Multi-stellar system flag	[ucd=meta.code]
#Column	Xray-prov	(A1)	[CERX] Adopted X-ray flux data source (1)	[ucd=meta.code]
#Column	LX	(D23.16)	? Stellar X-ray luminosity, 0.2-2keV	[ucd=phys.luminosity;em.X-ray]
#Column	LXUV	(D23.16)	? Stellar XUV luminosity	[ucd=phys.luminosity;em.UV]
#Column	FplX	(D23.16)	? Planet Xray irradiation flux, 0.2-2keV	[ucd=phot.flux;em.X-ray]
#Column	FplXUV	(D21.14)	? Planetary XUV irradiation flux	[ucd=phot.flux;em.UV]
#Column	dM/dt	(F29.15)	? Estimated planetary mass loss rate	[ucd=phys.mass.loss]
#Column	SimbadName	(a23)	Simbad column added by the CDS	[ucd=meta.id]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
Host	Pl-letter	Pl-asem	Mass	f_Mass	Rad	f_Rad	Dist	ftrans	FX	binary	Xray-prov	LX	LXUV	FplX	FplXUV	dM/dt	SimbadName	_RA	_DE
GJ 667 C                   	b	   0.050500000000000003	   5.6	 0.0	 2.3	 1.0	  7.243960	0	 1.0e-12	0	R	 6.4831790428779682e+27	 6.6356791008726295e+28	 9.0392460505054362e+02	 9.25187098926051e+03	   7115076772.003852844238281	GJ 667 C               	259.74511	-34.99684
GJ 667 C                   	c	   0.125000000000000000	   3.8	 0.0	 1.8	 1.0	  7.243960	0	 1.0e-12	0	R	 6.4831790428779682e+27	 6.6356791008726295e+28	 1.4753495833792951e+02	 1.51005337538314e+03	    861531000.550802707672119	GJ 667 C               	259.74511	-34.99684
GJ 667 C                   	e	   0.212999999999999995	   2.7	 0.0	 1.5	 1.0	  7.243960	0	 1.0e-12	0	R	 6.4831790428779682e+27	 6.6356791008726295e+28	 5.0810767793650932e+01	 5.20059599955071e+02	                             	GJ 667 C               	259.74511	-34.99684
GJ 667 C                   	f	   0.156000000000000000	   2.7	 0.0	 1.5	 1.0	  7.243960	0	 1.0e-12	0	R	 6.4831790428779682e+27	 6.6356791008726295e+28	 9.4725251644894342e+01	 9.69534187638133e+02	                             	GJ 667 C               	259.74511	-34.99684
GJ 667 C                   	g	   0.549000000000000044	   4.6	 0.0	 2.0	 1.0	  7.243960	0	 1.0e-12	0	R	 6.4831790428779682e+27	 6.6356791008726295e+28	 7.6483944115319744e+00	 7.82830315438954e+01	     51741189.352985151112080	GJ 667 C               	259.74511	-34.99684
GJ 674                     	b	   0.039000000000000000	  11.1	 0.0	 3.4	 1.0	  4.548960	0	 1.4e-12	0	E	 3.4097996947626180e+27	 3.7816232371038857e+28	 7.9712531647545950e+02	 8.84048298877346e+03	  11505845149.947315216064453	GJ 674                 	262.16644	-46.89519
GJ 676 A                   	b	   1.820000000000000062	1576.4	 0.0	13.1	 1.0	 16.027200	0	 1.3e-13	0	E	 3.8535084334041810e+27	 4.2086680248030059e+28	 4.1365710360099839e-01	 4.51781916465199e+00	      2386339.851589471567422	GJ 676 A               	262.54669	-51.63698
GJ 676 A                   	c	   6.599999999999999645	2161.2	 0.0	12.9	 1.0	 16.027200	0	 1.3e-13	0	E	 3.8535084334041810e+27	 4.2086680248030059e+28	 3.1455412992836260e-02	 3.43545091850166e-01	       127443.207795774462284	GJ 676 A               	262.54669	-51.63698
GJ 676 A                   	d	                       	      	    	    	    	 16.027200	0	 1.3e-13	0	E	 3.8535084334041810e+27	 4.2086680248030059e+28	                       	                     	                             	GJ 676 A               	262.54669	-51.63698
GJ 676 A                   	e	                       	      	    	    	    	 16.027200	0	 1.3e-13	0	E	 3.8535084334041810e+27	 4.2086680248030059e+28	                       	                     	                             	GJ 676 A               	262.54669	-51.63698
GJ 682                     	b	   0.080000000000000002	   4.4	 0.0	 2.0	 1.0	  5.006710	0	 7.3e-14	0	E	 2.1985909078193366e+26	 3.4608836459268742e+27	 1.2214941814547776e+01	 1.92279938080188e+02	    122811143.746013656258583	GJ 682                 	264.26527	-44.31921
GJ 682                     	c	   0.175999999999999990	   8.7	 0.0	 2.9	 1.0	  5.006710	0	 7.3e-14	0	E	 2.1985909078193366e+26	 3.4608836459268742e+27	 2.5237483087908639e+00	 3.97272599339232e+01	     42890753.699844747781754	GJ 682                 	264.26527	-44.31921
GJ 687                     	b	   0.163000000000000006	  17.2	 0.0	 4.4	 1.0	  4.549390	0	 3.6e-13	0	R	 8.9580946438109423e+26	 1.1767554767001593e+28	 1.1988570088933836e+01	 1.57484555264254e+02	    287369130.513455867767334	GJ 687                 	264.10791	+68.33914
GJ 687                     	c	   1.165000000000000036	  16.0	 0.0	 4.2	 1.0	  4.549390	0	 3.6e-13	0	R	 8.9580946438109423e+26	 1.1767554767001593e+28	 2.3468792476773057e-01	 3.08291340700028e+00	      5320824.744963195174932	GJ 687                 	264.10791	+68.33914
GJ 832                     	b	   3.560000000000000053	 216.0	 0.0	14.2	 1.0	  4.964350	0	 1.2e-13	0	E	 3.6069979015721371e+26	 5.3254727764628325e+27	 1.0119821277084324e-02	 1.49411877091174e-01	       731135.924110311316326	GJ 832                 	323.39156	-49.00900
GJ 832                     	c	   0.163000000000000006	   5.4	 0.0	 2.2	 1.0	  4.964350	0	 1.2e-13	0	E	 3.6069979015721371e+26	 5.3254727764628325e+27	 4.8272259752815643e+00	 7.12705169747715e+01	     53296457.774129487574100	GJ 832                 	323.39156	-49.00900
GJ 86                      	b	   0.110000000000000001	1404.8	 0.0	13.2	 1.0	 10.783600	0	 4.1e-13	0	E	 5.7194601964647375e+27	 5.9459855713338009e+28	 1.6807248471519318e+02	 1.74729176308015e+03	   1050111503.976702451705933	GJ 86                  	032.60799	-50.82374
GJ 876                     	b	   0.208317000000000002	 723.2	 0.0	13.5	 1.0	  4.675170	0	 6.4e-14	0	X	 1.6777916900129745e+26	 2.7355088312102953e+27	 1.3747241522016298e+00	 2.24138078714442e+01	     28335547.902332324534655	GJ 876                 	343.31972	-14.26370
GJ 876                     	c	   0.129590000000000011	 227.0	 0.0	14.2	 1.0	  4.675170	0	 6.4e-14	0	X	 1.6777916900129745e+26	 2.7355088312102953e+27	 3.5524012010827981e+00	 5.79191380873326e+01	    268106493.631748616695404	GJ 876                 	343.31972	-14.26370
GJ 876                     	d	   0.020806999999999999	   6.8	 0.0	 2.5	 1.0	  4.675170	0	 6.4e-14	0	X	 1.6777916900129745e+26	 2.7355088312102953e+27	 1.3779899609165375e+02	 2.24670543419915e+03	   2013238926.865202903747559	GJ 876                 	343.31972	-14.26370
GJ 876                     	e	   0.334299999999999986	  14.6	 0.0	 4.0	 1.0	  4.675170	0	 6.4e-14	0	X	 1.6777916900129745e+26	 2.7355088312102953e+27	 5.3381679658072445e-01	 8.70346759962597e+00	     13998749.990492440760136	GJ 876                 	343.31972	-14.26370
GJ 887                     	b	   0.068000000000000005	   4.2	 0.0	 1.9	 1.0	  3.290000	0	 6.7e-13	0	R	 8.7311733260608459e+26	 1.1507127817900155e+28	 6.7140061259730075e+01	 8.84863050778448e+02	    545284629.243821859359741	GJ 887                 	346.46682	-35.85307
GJ 887                     	c	   0.119999999999999996	   7.6	 0.0	 2.7	 1.0	  3.290000	0	 6.7e-13	0	R	 8.7311733260608459e+26	 1.1507127817900155e+28	 2.1559419671180006e+01	 2.84139357416635e+02	    276441411.322622358798981	GJ 887                 	346.46682	-35.85307
GJ 9066                    	b	   0.403000000000000025	  30.9	 0.0	 6.2	 1.0	  4.471000	0	 1.1e-12	0	R	 2.7048283006901805e+27	 3.0883967265388971e+28	 5.9218384903385024e+00	 6.76160723547101e+01	    193714982.095488458871841	GJ 9066                	030.05398	+13.05194
GJ 9066                    	c	   0.869999999999999996	  71.6	 0.0	10.2	 1.0	  4.471000	0	 1.1e-12	0	R	 2.7048283006901805e+27	 3.0883967265388971e+28	 1.2706564504919886e+00	 1.45084670300649e+01	     79387074.098496109247208	GJ 9066                	030.05398	+13.05194
GJ 96                      	b	   0.290999999999999981	  19.7	 0.0	 4.8	 1.0	 11.931500	0	 2.0e-13	0	R	 3.4829703180563939e+27	 3.8524961042463870e+28	 1.4624827233313741e+01	 1.61764484898218e+02	    327180736.775028526782990	GJ 96                  	035.56102	+47.88003
GQ Lup                     	b	 100.000000000000000000	6356.0	 0.0	33.6	 0.0	151.169000	0	 2.1e-13	0	E	 5.7150398796119464e+29	 3.4305406182932198e+30	 2.0321053263416163e-02	 1.21980248773667e-01	       269480.374810316774528	GQ Lup                 	237.30044	-35.65140
GSC 06214-00210            	b	 320.000000000000000000	5000.0	 0.0	12.5	 1.0	108.500000	0	 6.6e-13	0	E	 9.2371446347066959e+29	 5.2533028396712644e+30	 3.2074857538360677e-03	 1.82414530519768e-02	         2644.930274326330164	GSC 06214-00210        	245.47778	-20.71921
GU Psc                     	b	2000.000000000000000000	3591.3	 0.0	14.2	 0.0	 47.550100	0	 4.8e-13	0	R	 1.3048873772100242e+29	 9.2875173880593830e+29	 1.1599519186926834e-05	 8.25594131901637e-05	           24.258023017494459	GU Psc                 	018.14605	+17.06544
Gl 49                      	b	   0.090499999999999997	   5.6	 0.0	 2.3	 1.0	  9.852800	0	 2.7e-13	0	X	 3.1436872085011943e+27	 3.5222470569690149e+28	 1.3648003288578593e+02	 1.52914829715576e+03	   1180827098.111204147338867	Gl 49                  	015.66195	+62.34505
HAT-P-11                   	b	   0.052540000000000003	  23.4	 0.0	 4.4	 0.0	 37.764700	1	 1.8e-14	0	X	 3.1042075531011102e+27	 3.4835405651966831e+28	 3.9985042624488983e+02	 4.48712000086384e+03	   5883218510.262747764587402	HAT-P-11               	297.70936	+48.08086
HAT-P-11                   	c	   4.129999999999999893	 507.0	 0.0	13.7	 1.0	 37.764700	0	 1.8e-14	0	X	 3.1042075531011102e+27	 3.4835405651966831e+28	 6.4710923373437632e-02	 7.26185742179211e-01	      1366595.562084196833894	HAT-P-11               	297.70936	+48.08086
HAT-P-2                    	b	   0.068140000000000006	2739.7	 0.0	12.8	 1.0	127.774000	1	 2.8e-14	0	X	 5.5192046935162883e+28	 4.3499766254792394e+29	 4.2266782762247185e+03	 3.33126831237069e+04	   9475113135.970937728881836	HAT-P-2                	245.15149	+41.04809
HAT-P-20                   	b	   0.036100000000000000	2302.9	 0.0	 9.7	 0.0	 71.037400	1	 2.0e-14	0	C	 1.2110425658146252e+28	 1.1473627819969953e+29	 3.3042428060817238e+03	 3.13049708193312e+04	   4618200464.493356704711914	HAT-P-20               	111.91645	+24.33653
HD 100546                  	b	  53.000000000000000000	2222.5	 1.0	77.3	 0.0	109.677000	0	 3.1e-14	0	E	 4.4388945331521164e+28	 3.5910623676657595e+29	 5.6188836097225735e-03	 4.54567265080754e-02	      3502804.800763464532793	HD 100546              	173.35600	-70.19479
HD 102195                  	b	   0.050000000000000003	 130.3	 0.0	14.5	 1.0	 29.338600	0	 2.5e-13	0	E	 2.6187644799316945e+28	 2.2579423297464098e+29	 3.7246321007053189e+03	 3.21143980199937e+04	 276773683944.132324218750000	HD 102195              	176.42622	+02.82148
HD 102365                  	b	   0.460000000000000020	  16.0	 0.0	 4.2	 1.0	  9.289400	0	 2.7e-14	0	E	 2.7776710549691656e+26	 4.2419169564039666e+27	 4.6675835306412838e-01	 7.12809448355610e+00	     12302434.906676387414336	HD 102365              	176.62947	-40.50036
HD 103720                  	b	   0.049799999999999997	 197.0	 0.0	14.2	 1.0	 45.535200	0	 2.1e-13	0	E	 5.3028495829516159e+28	 4.1994981367261713e+29	 7.6028701253083209e+03	 6.02095881196611e+04	 326551077453.116333007812500	HD 103720              	179.17161	-02.77895
HD 103774                  	b	   0.070000000000000007	 116.0	 0.0	13.5	 1.0	 56.408900	0	 8.7e-14	1	E	 3.3218590784874048e+28	 2.7828732958800719e+29	 2.4105274064351615e+03	 2.01940906879470e+04	 160214638964.812164306640625	HD 103774              	179.23162	-12.10791
HD 10647                   	b	   2.015000000000000124	 298.8	 0.0	14.0	 1.0	 17.335700	0	 3.2e-13	0	E	 1.1481066513072093e+28	 1.0949039218158262e+29	 1.0054467645121623e+00	 9.58854827979592e+00	     32629408.302099287509918	HD 10647               	025.62214	-53.74083
HD 106906                  	b	 650.000000000000000000	3496.0	 0.0	12.7	 1.0	103.029000	0	 9.9e-14	0	E	 1.2587809139770802e+29	 8.9972852401019522e+29	 1.0593766224703619e-04	 7.57201951763561e-04	          163.912823976215378	HD 106906              	184.47163	-55.97553
HD 107148                  	b	   0.269000000000000017	  66.7	 0.0	 9.8	 1.0	 49.415600	0	 1.7e-15	0	X	 5.0049596618670497e+26	 7.0840379984514797e+27	 2.4593648999352027e+00	 3.48099397002924e+01	    180439202.441770464181900	HD 107148              	184.80621	-03.31979
HD 108147                  	b	   0.101999999999999993	  83.0	 0.0	11.1	 1.0	 38.920000	0	 8.4e-14	0	E	 1.5186660275781573e+28	 1.3993757387165640e+29	 5.1902572447738805e+02	 4.78256570841785e+03	  29308582042.158634185791016	HD 108147              	186.44278	-64.02209
HD 109749                  	b	   0.061499999999999999	  85.8	 0.0	11.3	 1.0	 63.082100	0	 2.5e-14	0	E	 1.2102839012611633e+28	 1.1467324058683395e+29	 1.1377948766870174e+03	 1.07804974929302e+04	  67814756469.622215270996094	HD 109749              	189.31824	-40.81212
HD 110014                  	b	   2.140000000000000124	3524.6	 0.0	12.7	 1.0	100.758000	0	 4.8e-14	0	E	 5.8057266853211640e+28	 4.5482039519746463e+29	 4.5077102154234518e+00	 3.53133837112611e+01	      7574934.796794014051557	HD 110014              	189.81153	-07.99556
HD 110082                  	b	   0.113000000000000003	  10.1	 1.0	 3.2	 0.0	105.096000	1	 1.2e-13	0	E	 1.5418277555617504e+29	 1.0761482848414763e+30	 4.2934451735014527e+03	 2.99669249230833e+04	  36156081734.834266662597656	HD 110082              	192.59175	-88.12103
HD 111998                  	b	   1.820000000000000062	1433.4	 0.0	13.2	 1.0	 33.223700	0	 5.3e-13	0	E	 6.9565162233732572e+28	 5.3334834433932123e+29	 7.4675127921592761e+00	 5.72525881654535e+01	     33640336.053486555814743	HD 111998              	193.29649	-03.55310
HD 113337                  	b	   0.920000000000000040	 899.4	 0.0	13.4	 1.0	 36.180000	0	 9.0e-13	0	R	 1.4032266202358308e+29	 9.9026910050350930e+29	 5.8949362008264345e+01	 4.16010720216873e+02	    411971980.620332121849060	HD 113337              	195.44553	+63.61022
HD 113538                  	b	   1.239999999999999991	 114.4	 0.0	13.4	 1.0	 16.281700	0	 5.3e-14	0	E	 1.6960742058119411e+27	 2.0541934508983558e+28	 3.9221881928431890e-01	 4.75034245041911e+00	     37289574.628917731344700	HD 113538              	196.23949	-52.44292
HD 113538                  	c	   2.439999999999999947	 295.6	 0.0	14.0	 1.0	 16.281700	0	 5.3e-14	0	E	 1.6960742058119411e+27	 2.0541934508983558e+28	 1.0129596488369537e-01	 1.22684200345411e+00	      4225228.937133188359439	HD 113538              	196.23949	-52.44292
HD 114386                  	b	   1.729999999999999982	 362.3	 0.0	13.9	 1.0	 27.924300	0	 4.8e-14	0	E	 4.5177172907448564e+27	 4.8368919752303278e+28	 5.3672743240687903e-01	 5.74646982894050e+00	     15754717.696872223168612	HD 114386              	197.66593	-35.05478
HD 114613                  	b	   5.339999999999999858	 113.5	 0.0	13.4	 1.0	 20.283600	0	 6.4e-14	0	E	 3.1368410888366665e+27	 3.5155393366130558e+28	 3.9114425236572839e-02	 4.38365529696561e-01	      3419213.568345993757248	HD 114613              	198.01327	-37.80302
HD 11977                   	b	   1.929999999999999938	2080.0	 0.0	13.0	 1.0	 67.933100	0	 2.8e-14	0	E	 1.5577667035507583e+28	 1.4309417728544829e+29	 1.4870129397181615e+00	 1.36594839738692e+01	      5289377.463559007272124	HD 11977               	028.73388	-67.64730
HD 121504                  	b	   0.330000000000000016	 479.9	 0.0	13.7	 1.0	 41.659200	0	 4.4e-14	0	E	 9.0436459229587789e+27	 8.8822590079173257e+28	 2.9528583874549525e+01	 2.90016363251150e+02	    580378411.613522052764893	HD 121504              	209.32183	-56.04004
HD 12484                   	b	   0.296999999999999986	 947.1	 0.0	13.4	 1.0	 48.336700	0	 4.9e-13	0	R	 1.3672622165479976e+29	 9.6783012299688947e+29	 5.5114498851859048e+02	 3.90133447389344e+03	   3646144682.396330833435059	HD 12484               	030.61138	+02.81585
HD 128311                  	b	   1.084000000000000075	 562.2	 0.0	13.7	 1.0	 16.329200	0	 8.7e-13	0	R	 2.7632600316471745e+28	 2.3670605505206416e+29	 8.3616144749235435e+00	 7.16271633345185e+01	    120050924.110486760735512	HD 128311              	219.00233	+09.74652
HD 128311                  	c	   1.739999999999999991	1204.3	 0.0	13.2	 1.0	 16.329200	0	 8.7e-13	0	R	 2.7632600316471745e+28	 2.3670605505206416e+29	 3.2452653119453561e+00	 2.77995534546195e+01	     19853322.173846088349819	HD 128311              	219.00233	+09.74652
HD 128356                  	b	   0.869999999999999996	 282.9	 0.0	14.0	 1.0	 26.154800	0	 3.2e-14	0	E	 2.6422988101990900e+27	 3.0258991697964581e+28	 1.2412817576812811e+00	 1.42148701182221e+01	     51424374.363366089761257	HD 128356              	219.27037	-25.80257
HD 130322                  	b	   0.092499999999999999	 365.5	 0.0	13.9	 1.0	 31.876600	0	 9.1e-14	0	E	 1.1028310842814387e+28	 1.0569511552523287e+29	 4.5830276987580015e+02	 4.39236478713499e+03	  11925567231.724842071533203	HD 130322              	221.88636	-00.28147
HD 131664                  	b	   3.169999999999999929	6076.9	 0.0	12.4	 1.0	 52.812800	0	 3.8e-14	0	E	 1.2531218202012776e+28	 1.1822528870257070e+29	 4.4340615441259229e-01	 4.18329804595577e+00	       487523.215692021418363	HD 131664              	225.02533	-73.53533
HD 1397                    	b	   0.109700000000000006	 131.9	 0.0	11.5	 0.0	 79.570200	1	 3.9e-14	0	E	 2.9809036167638912e+28	 2.5301557910165391e+29	 8.8076820330894986e+02	 7.47585650744602e+03	  31909145747.349193572998047	HD 1397                	004.44647	-66.35891
HD 142                     	b	   1.020000000000000018	 397.3	 0.0	13.8	 1.0	 26.185300	0	 3.7e-14	1	E	 3.0172841156974557e+27	 3.3981035254886199e+28	 1.0311997803765918e+00	 1.16135023246586e+01	     28720258.935936972498894	HD 142                 	001.57990	-49.07519
HD 142                     	c	   6.799999999999999822	1684.4	 0.0	13.1	 1.0	 26.185300	0	 3.7e-14	1	E	 3.0172841156974557e+27	 3.3981035254886199e+28	 2.3201995058473309e-02	 2.61303802304818e-01	       128152.850713751817239	HD 142                 	001.57990	-49.07519
HD 142415                  	b	   1.060000000000000053	 530.8	 0.0	13.7	 1.0	 35.531800	0	 6.0e-14	0	E	 9.0108802855336572e+27	 8.8540499444881876e+28	 2.8515595024513654e+00	 2.80192938473702e+01	     50090765.232477769255638	HD 142415              	239.41997	-60.20026
HD 145377                  	b	   0.450000000000000011	1913.3	 0.0	13.0	 1.0	 53.488400	0	 1.5e-13	0	E	 5.1088544424559568e+28	 4.0639603555380261e+29	 8.9706817711147167e+01	 7.13594319246886e+02	    303421423.931004345417023	HD 145377              	242.90186	-27.07818
HD 1461                    	b	   0.063399999999999998	   6.4	 0.0	 2.5	 1.0	 23.453400	0	 1.6e-14	0	X	 1.0647081506661475e+27	 1.3681326699477855e+28	 9.4184407901936964e+01	 1.21025433467103e+03	   1036487350.283973097801208	HD 1461                	004.67445	-08.05300
HD 1461                    	c	   0.111699999999999994	   5.6	 0.0	 2.3	 1.0	 23.453400	0	 1.6e-14	0	X	 1.0647081506661475e+27	 1.3681326699477855e+28	 3.0342487480959587e+01	 3.89896032863181e+02	    299434026.204577982425690	HD 1461                	004.67445	-08.05300
HD 147379                  	b	   0.323000000000000009	  28.6	 0.0	 5.9	 1.0	 10.764300	0	 4.0e-13	0	R	 5.4810598537829382e+27	 5.7284426344942288e+28	 1.8680411933533755e+01	 1.95235357767738e+02	    526284307.717919766902924	HD 147379              	244.17811	+67.23884
HD 147513                  	b	   1.320000000000000062	 385.0	 0.0	13.9	 1.0	 12.903200	0	 3.6e-12	0	E	 7.2044483188819046e+28	 5.5006056927019978e+29	 1.4702115044794425e+01	 1.12250840217987e+02	    287524453.150017380714417	HD 147513              	246.00538	-39.19298
HD 149026                  	b	   0.044485397836032191	 120.8	 0.0	 8.3	 0.0	 75.864300	1	 4.7e-15	0	X	 3.2355332466153522e+27	 3.6120635950478124e+28	 5.8135024253416248e+02	 6.49004008605541e+03	  11353290493.241418838500977	HD 149026              	247.62341	+38.34731
HD 150706                  	b	   6.700000000000000178	 861.3	 0.0	13.4	 1.0	 28.269700	0	 8.3e-13	0	R	 7.9800198817013982e+28	 6.0192014381464401e+29	 6.3209348910275698e-01	 4.76778014973958e+00	      4956278.909887605346739	HD 150706              	247.82326	+79.78978
HD 154345                  	b	   4.209999999999999964	 260.6	 0.0	14.1	 1.0	 18.284000	0	 2.4e-14	0	X	 9.4464027358456441e+26	 1.2325179658952580e+28	 1.8950872708392939e-02	 2.47261224570238e-01	       980454.466646805522032	HD 154345              	255.65168	+47.08188
HD 160691                  	b	   1.497000000000000108	 532.7	 0.0	13.7	 1.0	 15.598100	0	 5.9e-15	0	X	 1.7212168524993433e+26	 2.7969952425151380e+27	 2.7309826298458937e-02	 4.43787510677616e-01	       790189.233744575642049	HD 160691              	266.03626	-51.83405
HD 160691                  	c	   5.235000000000000320	 576.5	 0.0	13.6	 1.0	 15.598100	0	 5.9e-15	0	X	 1.7212168524993433e+26	 2.7969952425151380e+27	 2.2332079566317431e-03	 3.62898609851272e-02	        59139.173079780950502	HD 160691              	266.03626	-51.83405
HD 160691                  	d	   0.090939999999999993	  10.6	 0.0	 3.3	 1.0	 15.598100	0	 5.9e-15	0	X	 1.7212168524993433e+26	 2.7969952425151380e+27	 7.4003564514490749e+00	 1.20256560104922e+02	    150663258.678519487380981	HD 160691              	266.03626	-51.83405
HD 160691                  	e	   0.921000000000000041	 165.9	 0.0	14.3	 1.0	 15.598100	0	 5.9e-15	0	X	 1.7212168524993433e+26	 2.7969952425151380e+27	 7.2151153414281022e-02	 1.17246372848770e+00	      7711964.675607549026608	HD 160691              	266.03626	-51.83405
HD 162020                  	b	   0.080000000000000002	3127.4	 0.0	12.7	 1.0	 30.824800	0	 8.0e-13	0	E	 9.1234588271827640e+28	 6.7733456719416654e+29	 5.0688155911639587e+03	 3.76313860747509e+04	   9228659721.051658630371094	HD 162020              	267.65982	-40.31835
HD 16417                   	b	   0.140000000000000013	  22.1	 0.0	 5.1	 1.0	 25.393600	0	 7.8e-14	0	R	 6.0203406458009454e+27	 6.2189689265845353e+28	 1.0921742749986559e+02	 1.12820823243101e+03	   2496988583.064342975616455	HD 16417               	039.24420	-34.57798
HD 177565                  	b	   0.245999999999999996	  15.1	 0.0	 4.1	 1.0	 16.917900	0	 8.1e-14	0	E	 2.7729504410585794e+27	 3.1562808019223006e+28	 1.6292916902884173e+01	 1.85452361738773e+02	    306118699.310552716255188	HD 177565              	286.71860	-37.81066
HD 178911 B                	b	   0.340000000000000024	2552.2	 0.0	12.9	 1.0	 40.972700	0	 9.9e-15	0	C	 1.9948822867574645e+27	 2.3669748675734962e+28	 6.1360146654778829e+00	 7.28052607247113e+01	     22419415.147940486669540	HD 178911 B            	287.26291	+34.59985
HD 179949                  	b	   0.044299999999999999	 291.1	 0.0	14.0	 1.0	 27.457300	0	 4.7e-13	0	R	 4.2610964035178543e+28	 3.4641979054477097e+29	 7.7204187413936324e+03	 6.27656731986514e+04	 219868344436.353942871093750	HD 179949              	288.88846	-24.17935
HD 180053                  	b	   0.842999999999999972	 697.3	 0.0	13.5	 1.0	137.043000	0	 3.7e-13	0	R	 8.2239970978177101e+29	 4.7383039282810494e+30	 4.1148570085908864e+02	 2.37079888237008e+03	   3122141802.262299060821533	HD 180053              	288.40089	+34.91454
HD 180314                  	b	   1.459999999999999964	6397.9	 0.0	12.4	 1.0	122.362000	0	 4.3e-13	0	R	 7.7554606117403522e+29	 4.4978495380752767e+30	 1.2936858675120197e+02	 7.50284821612638e+02	     82539923.320596113801003	HD 180314              	288.70920	+31.86035
HD 180617                  	b	   0.343000000000000027	  12.2	 0.0	 3.6	 1.0	  5.910590	0	 1.3e-13	0	X	 5.3128932307171255e+26	 7.4623748499939955e+27	 1.6057199274963863e+00	 2.25535945909943e+01	     31618524.987686529755592	HD 180617              	289.23024	+05.16890
HD 188015                  	b	   1.203000000000000069	 476.7	 0.0	13.7	 1.0	 50.670600	0	 6.6e-15	0	C	 2.0224097246220252e+27	 2.3954827419394433e+28	 4.9689524306197763e-01	 5.88557286298271e+00	     11866836.704180749133229	HD 188015              	298.01893	+28.10037
HD 189733                  	b	   0.030775022421917861	 359.1	 0.0	12.7	 0.0	 19.763800	1	 5.5e-13	0	R	 2.5927965588317488e+28	 2.2382574498585333e+29	 9.7341634531029613e+03	 8.40311353886759e+04	 175990423187.426696777343750	HD 189733              	300.18214	+22.71085
